"Type"	"ID"	"R"	"b"	"c"	"mu"	"omega"	"dispsd"	"dispmean"	"flying_period"	"dist_eff"	"trans_effect_nest"	"trans_effect_res"
1	1	3	1	1	0.1	0.5	60	600	1	0.9	1	0.9
2	2	3	1	1	0.1	0.5	60	600	2	0.9	1	0.9
3	3	3	1	0	0.1	0.5	60	600	1	0.3	1	0.9
4	4	2.5	1	1	0.1	0.5	60	600	1	0.9	1	0.9
5	5	2.5	1	1	0.1	0.5	60	600	2	0.9	1	0.9
6	6	2.5	1	0	0.1	0.5	60	600	1	0.9	1	0.9
7	7	2.5	1	0	0.1	0.5	60	600	3	0.9	1	0.9
8	8	2.5	1	0	0.1	0.5	60	600	3	0.9	1	0.9
9	9	2.5	1	0	0.1	0.5	60	600	1	0.3	1	0.9
10	10	4	1	2	0.1	0.5	30	300	1	0.9	1	0.9
11	11	4	1	2	0.1	0.5	30	300	3	0.9	1	0.9
12	12	4	1	2	0.1	0.5	30	300	1	0.3	1	0.9
13	13	3.5	1	3	0.1	0.5	30	300	1	0.9	1	0.9
14	14	3.5	1	2	0.1	0.5	30	300	1	0.9	1	0.9
15	15	3.5	1	2	0.1	0.5	30	300	2	0.9	1	0.9
16	16	3.5	1	2	0.1	0.5	30	300	3	0.9	1	0.9
17	17	3.5	1	3	0.1	0.5	30	300	2	0.9	1	0.9
18	18	3.5	1	3	0.1	0.5	30	300	1	0.3	1	0.9
19	19	3.5	1	3	0.1	0.5	30	300	2	0.3	1	0.9
20	20	4	1	2	0.1	0.5	30	300	3	0.9	1	0.9
21	21	5	1	4	0.1	0.5	10	100	1	0.9	1	0.9
22	22	5	1	4	0.1	0.5	10	100	3	0.9	1	0.9
23	23	5	1	4	0.1	0.5	10	100	1	0.3	1	0.9
24	24	4.5	1	5	0.1	0.5	10	100	1	0.9	1	0.9
25	25	4.5	1	4	0.1	0.5	10	100	1	0.9	1	0.9
26	26	4.5	1	4	0.1	0.5	10	100	2	0.9	1	0.9
27	27	4.5	1	4	0.1	0.5	10	100	3	0.9	1	0.9
28	28	4.5	1	4	0.1	0.5	10	100	3	0.3	1	0.9
